"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "YAML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 78, 0, 0, 0, 6, 84
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\BUILD.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 6, 17
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\README.md", "Markdown", 0, 0, 61, 0, 0, 0, 0, 0, 25, 86
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\assets\svg\banners\simplechatbanner2dark.svg", "XML", 0, 0, 0, 0, 0, 0, 161, 2, 2, 165
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\assets\svg\banners\simplechatbanner2light.svg", "XML", 0, 0, 0, 0, 0, 0, 161, 2, 2, 165
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\assets\svg\banners\simplechatbannerdark.svg", "XML", 0, 0, 0, 0, 0, 0, 149, 2, 2, 153
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\assets\svg\banners\simplechatbannerlight.svg", "XML", 0, 0, 0, 0, 0, 0, 149, 2, 2, 153
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\assets\svg\icon\simplechaticon.svg", "XML", 0, 0, 0, 0, 0, 0, 136, 2, 2, 140
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\assets\svg\logo\simplechatlogo.svg", "XML", 0, 0, 0, 0, 0, 0, 143, 3, 2, 148
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\adapters\AnthropicAdapter.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 58, 40, 341
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\adapters\BaseResponseAdapter.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 48, 12, 100
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\adapters\GoogleAdapter.js", "JavaScript", 322, 0, 0, 0, 0, 0, 0, 75, 66, 463
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\adapters\OpenAIAdapter.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 37, 32, 211
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\adapters\ResponseAdapterFactory.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 30, 9, 74
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\adapters\UnifiedResponse.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 17, 13, 99
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\config\database.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 9, 11, 104
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\routes\chat.js", "JavaScript", 563, 0, 0, 0, 0, 0, 0, 60, 113, 736
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\routes\debug.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 8, 6, 59
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\routes\documents.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 23, 20, 146
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\routes\mcp.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 9, 12, 96
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\routes\project.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 6, 15, 77
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\routes\settings.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 24, 46, 313
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\server.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 13, 13, 75
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\services\chatService.js", "JavaScript", 997, 0, 0, 0, 0, 0, 0, 182, 194, 1373
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\services\mcpService.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 30, 45, 385
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\services\settingsService.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 31, 45, 272
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\services\toolEventService.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 23, 21, 157
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\backend\utils\logger.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 3, 16
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\electron-main.js", "JavaScript", 197, 0, 0, 0, 0, 0, 0, 29, 32, 258
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\electron-preload.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\index.html", "HTML", 0, 281, 0, 0, 0, 0, 0, 27, 45, 353
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\package-lock.json", "JSON", 0, 0, 0, 5635, 0, 0, 0, 0, 1, 5636
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\base.css", "PostCSS", 0, 0, 0, 0, 0, 248, 0, 20, 41, 309
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\context-menu.css", "PostCSS", 0, 0, 0, 0, 0, 38, 0, 1, 7, 46
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\debug.css", "PostCSS", 0, 0, 0, 0, 0, 128, 0, 6, 22, 156
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\edit-mode.css", "PostCSS", 0, 0, 0, 0, 0, 386, 0, 29, 65, 480
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\forms.css", "PostCSS", 0, 0, 0, 0, 0, 539, 0, 30, 106, 675
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\layout.css", "PostCSS", 0, 0, 0, 0, 0, 784, 0, 28, 124, 936
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\mcp.css", "PostCSS", 0, 0, 0, 0, 0, 120, 0, 18, 22, 160
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\message-actions.css", "PostCSS", 0, 0, 0, 0, 0, 127, 0, 18, 27, 172
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\modals.css", "PostCSS", 0, 0, 0, 0, 0, 218, 0, 11, 32, 261
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 9, 0, 2, 3, 14
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\syntax.css", "PostCSS", 0, 0, 0, 0, 0, 41, 0, 13, 13, 67
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\css\turns.css", "PostCSS", 0, 0, 0, 0, 0, 254, 0, 18, 43, 315
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\api.js", "JavaScript", 557, 0, 0, 0, 0, 0, 0, 47, 104, 708
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\block.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 8, 36
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\documentProcessing.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 28, 16, 94
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\imageProcessing.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 16, 16, 105
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\logger.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 17, 23, 134
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\main.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 26, 27, 182
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\message.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 2, 14, 83
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\renderableTurnObject.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 3, 7, 56
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\turn.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 18, 26, 190
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\app\utils.js", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 44, 36, 266
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\chat\chatManager.js", "JavaScript", 708, 0, 0, 0, 0, 0, 0, 89, 144, 941
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\chat\simpleChatMode.js", "JavaScript", 335, 0, 0, 0, 0, 0, 0, 59, 67, 461
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\render\chatRenderer.js", "JavaScript", 1709, 0, 0, 0, 0, 0, 0, 293, 392, 2394
"c:\Users\Tom\Desktop\gamedev\chatui\simplechat\mainnobuild\src\js\render\liveRenderer.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 15, 11, 101
